"","parentId","stationId","name","Location_Easting","Location_Northing"
"357","490G00013120","490G00013120","Sycamore Close",512300.5,183671
"358","490G00013155","490G00013155","Target Roundabout",512514,183870
"359","490G00006638","490G00006638","Kingston Close",512789,184040
"360","490G00003178","490G00003178","Alderney Gardens",512928,184147
"361","490G00009959","490G00009959","Moat Farm Road",513099,184321.5
"362","490G00162X1","490G00162X1","Northolt Station",513252.5,184503.5
"363","490G000874","490G000874","Holles Street",528825,181288
"364","490G000691","490G000691","Great Titchfield St / Oxford Circus Stn",529195.5,181268
"365","490G00235V","490G00235V","Tottenham Court Road Station",529715,181371
"366","490G00018892","490G00018892","New Oxford Street",529998,181428
"367","490G00010131","490G00010131","Museum Street",530235.333333333,181520.333333333
"368","490G00011244","490G00011244","Procter Street",530598,181612
"369","490G00004514","490G00004514","Brownlow Street",530886,181606
"370","490G00044E","490G00044E","Chancery Lane Station",531092,181621
"371","490G00008275","490G00008275","Holborn Circus / Fetter Lane",531271,181596
"372","490G00015096","490G00015096","Holborn Circus",531506,181553
"373","490G01067Q","490G01067Q","City Thameslink Station",531672,181479
"374","490G000621","490G000621","King Edward Street",531945,181356
"375","490G000672","490G000672","New Change / Cannon Street",532200,181116
"376","490G00143E","490G00143E","Mansion House Station",532298,181025
"377","490G000780","490G000780","Bank Station  / Queen Victoria Street",532536.5,181059.5
"378","490G00019175","490G00019175","King William Street / Monument Stn",532834,180905
"379","490G000934","490G000934","Fenchurch Street",532980,180973.666666667
"380","490G00004043","490G00004043","Wormwood Street",533162.666666667,181388.166666667
"381","490G00138E","490G00138E","Liverpool Street Station",533287,181609
"382","490G00012391","490G00012391","Primrose Street",533373.2,181855.2
"383","490G000498","490G000498","Bethnal Grn Rd / Shoreditch High St Stn",533538,182287
"384","490G00004313","490G00004313","Brick Lane",533819,182394
"385","490G00003638","490G00003638","Barnet Grove",534165,182579
"386","490G00011087","490G00011087","Pollard Row",534432,182637
"387","490G00014721","490G00014721","Wilmot Street",534676,182686
"388","490G00022D","490G00022D","Bethnal Green Station",534907,182740
"389","490G00004606","490G00004606","Burnham Street",535197,182781
"390","490G00004144","490G00004144","Bonner Street",535596,182960
"391","490G00012204","490G00012204","Smart Street",535745,183032
"392","490G00007580","490G00007580","Roman Road / Grove Road",536080,183170
"393","490G00009786","490G00009786","Medway Road",536352,183269
"394","490G00006904","490G00006904","Ford Road",536500,183313
"395","490G00012461","490G00012461","Alice Lane",536476,183551
"396","490G00010561","490G00010561","Parnell Road",536776,183718
"397","490G00011654","490G00011654","Roman Road Market",536918,183619
"398","490G000661","490G000661","Marshgate Lane",538048,183249
"399","490G00014249","490G00014249","Warton Road",538360,183633
"400","490G00014215","490G00014215","Stratford High St Stn  / Carpenters Rd",538554,183887
"401","490G000773","490G000773","Stratford Bus Station",538647.333333333,184355
"402","490G00013402","490G00013402","The Grove",539034,184658
"403","490G000653","490G000653","Maryland Station  / Manbey Grove",539085,184864
"404","490G01190S1","490G01190S1","Maryland Station",539194,185044
"405","490G00005214","490G00005214","Chobham Road",539121,185361
"406","490G00009142","490G00009142","Cann Hall Road",539147,185581
"407","490G00011421","490G00011421","Ranelagh Road",539126,185944
"408","490G00007849","490G00007849","Harrow Green",539195,186208
"409","490G00014519","490G00014519","West Street",539236,186395
"410","490G00009141","490G00009141","Leytonstone Fire Station",539303,186573
"411","490G01179S","490G01179S","Leytonstone High Road Station",539373,186790
"412","490G00014033","490G00014033","Vernon Road",539413,187068
"413","490G00007882","490G00007882","Harvey Road",539446,187322
"414","490G00008852","490G00008852","Kirkdale Road",539534,187505
"415","490G00007490","490G00007490","Green Man Roundabout",539703,187666
"416","490G00004711","490G00004711","Cambridge Road",540070,187905
"417","490G00004088","490G00004088","Blake Hall Road",540231,188007
"418","490G00250A","490G00250A","Wanstead Station",540564,188215
"419","490G00010467","490G00010467","Nutter Lane",541089,188456
"420","490G00006659","490G00006659","Redbridge Station",541977,188355
"421","490G00013332","490G00013332","The Drive",542430,188396
"422","490G00003829","490G00003829","Beehive Lane",542763,188426
"423","490G00085G","490G00085G","Gants Hill Station",543165,188441
"424","490G15200C","490G15200C","Gants Hill Station",543401,188518
"425","490G00012078","490G00012078","Shere Road",543574,188609
"426","490G00007110","490G00007110","Gantshill Crescent",543762,188890
"427","490G00023101","490G00023101","Beattyville Gardens",543939,189188
"428","490G00000341","490G00000341","Brandville Gardens",544112,189464
"429","490G00007012","490G00007012","Fremantle Road",544299,189926
"430","490G00007059","490G00007059","Fullwell Cross",544474,190292
"431","490G00013704","490G00013704","Tomswood Hill",544468,190603
"432","490G00010189","490G00010189","Neville Road",544482,190791
"433","490G00013481","490G00013481","New North Road",544449,191219
"434","490G00013783","490G00013783","Trelawney Road",544815,191440
"435","490G00095A","490G00095A","Hainault Station",545164,191580
"436","490G00003813","490G00003813","Beech Grove",545497,191713
"437","490G00007648","490G00007648","Hainault Fire Station",545727,191804
"438","490G00008708","490G00008708","Kielder Close",545962,191923
"439","490G00019878","490G00019878","The Lowe",546113,192052
"440","910GHTRBUS5","910GHTRBUS5","Heathrow Terminal 5",505000,175885
