from,to,line,latitude.x,longitude.x,name.x,display_name.x,zone.x,total_lines.x,rail.x,latitude.y,longitude.y,name.y,display_name.y,zone.y,total_lines.y,rail.y,geometry
309,227,3,51.510031,-0.224301,Wood Lane,Wood<br />Lane,2,2,0,51.5058,-0.2265,Shepherd's Bush (H),Shepherd's<br />Bush,2,1,0,"(-0.224301 51.510031, -0.226500 51.505800)"
3,263,4,51.5154,-0.0726,Aldgate East,Aldgate<br />East,1,2,0,51.5098,-0.0766,Tower Hill,Tower<br />Hill,1,2,0,"(-0.072600 51.515400, -0.076600 51.509800)"
3,295,4,51.5154,-0.0726,Aldgate East,Aldgate<br />East,1,2,0,51.5194,-0.0612,Whitechapel,NULL,2,3,0,"(-0.072600 51.515400, -0.061200 51.519400)"
15,78,4,51.5396,0.081,Barking,NULL,4,2,1,51.5394,0.0518,East Ham,East<br />Ham,3.5,2,0,"(0.081000 51.539600, 0.051800 51.539400)"
15,269,4,51.5396,0.081,Barking,NULL,4,2,1,51.5385,0.1014,Upney,NULL,4,1,0,"(0.081000 51.539600, 0.101400 51.538500)"
17,110,4,51.4905,-0.2139,Barons Court,Barons<br />Court,2,2,0,51.4936,-0.2251,Hammersmith,NULL,2,3,0,"(-0.213900 51.490500, -0.225100 51.493600)"
17,293,4,51.4905,-0.2139,Barons Court,Barons<br />Court,2,2,0,51.4907,-0.2065,West Kensington,West<br />Kensington,2,1,0,"(-0.213900 51.490500, -0.206500 51.490700)"
18,186,4,51.5121,-0.1879,Bayswater,NULL,1,2,0,51.5094,-0.1967,Notting Hill Gate,Notting<br />Hill Gate,1.5,3,0,"(-0.187900 51.512100, -0.196700 51.509400)"
18,193,4,51.5121,-0.1879,Bayswater,NULL,1,2,0,51.5154,-0.1755,Paddington,NULL,1,4,1,"(-0.187900 51.512100, -0.175500 51.515400)"
21,67,4,51.5403,0.127,Becontree,NULL,5,1,0,51.5417,0.1469,Dagenham Heathway,Dagenham<br />Heathway,5,1,0,"(0.127000 51.540300, 0.146900 51.541700)"
21,269,4,51.5403,0.127,Becontree,NULL,5,1,0,51.5385,0.1014,Upney,NULL,4,1,0,"(0.127000 51.540300, 0.101400 51.538500)"
25,161,4,51.512,-0.1031,Blackfriars,NULL,1,2,0,51.5122,-0.094,Mansion House,Mansion<br />House,1,2,0,"(-0.103100 51.512000, -0.094000 51.512200)"
25,255,4,51.512,-0.1031,Blackfriars,NULL,1,2,0,51.5111,-0.1141,Temple,NULL,1,2,0,"(-0.103100 51.512000, -0.114100 51.511100)"
33,36,4,51.5269,-0.0247,Bow Road,Bow<br />Road,2,2,0,51.5248,-0.0119,Bromley-By-Bow,NULL,2.5,2,0,"(-0.024700 51.526900, -0.011900 51.524800)"
33,164,4,51.5269,-0.0247,Bow Road,Bow<br />Road,2,2,0,51.5249,-0.0332,Mile End,Mile<br />End,2,3,0,"(-0.024700 51.526900, -0.033200 51.524900)"
36,289,4,51.5248,-0.0119,Bromley-By-Bow,NULL,2.5,2,0,51.5287,0.0056,West Ham,West<br />Ham,2.5,3,1,"(-0.011900 51.524800, 0.005600 51.528700)"
44,161,4,51.5113,-0.0904,Cannon Street,Cannon<br />Street,1,2,0,51.5122,-0.094,Mansion House,Mansion<br />House,1,2,0,"(-0.090400 51.511300, -0.094000 51.512200)"
44,166,4,51.5113,-0.0904,Cannon Street,Cannon<br />Street,1,2,0,51.5108,-0.0863,Monument,NULL,1,2,0,"(-0.090400 51.511300, -0.086300 51.510800)"
52,1,4,51.4946,-0.2678,Chiswick Park,Chiswick<br />Park,3,1,0,51.5028,-0.2801,Acton Town,Acton<br />Town,3,2,0,"(-0.267800 51.494600, -0.280100 51.502800)"
52,265,4,51.4946,-0.2678,Chiswick Park,Chiswick<br />Park,3,1,0,51.4951,-0.2547,Turnham Green,Turnham<br />Green,2.5,2,0,"(-0.267800 51.494600, -0.254700 51.495100)"
66,67,4,51.5443,0.1655,Dagenham East,Dagenham<br />East,5,1,0,51.5417,0.1469,Dagenham Heathway,Dagenham<br />Heathway,5,1,0,"(0.165500 51.544300, 0.146900 51.541700)"
66,85,4,51.5443,0.1655,Dagenham East,Dagenham<br />East,5,1,0,51.5496,0.1977,Elm Park,Elm<br />Park,6,1,0,"(0.165500 51.544300, 0.197700 51.549600)"
72,73,4,51.5152,-0.3017,Ealing Broadway,Ealing<br />Broadway,3,2,1,51.5101,-0.2882,Ealing Common,Ealing<br />Common,3,2,0,"(-0.301700 51.515200, -0.288200 51.510100)"
73,1,4,51.5101,-0.2882,Ealing Common,Ealing<br />Common,3,2,0,51.5028,-0.2801,Acton Town,Acton<br />Town,3,2,0,"(-0.288200 51.510100, -0.280100 51.502800)"
74,99,4,51.492,-0.1973,Earl's Court,Earl's<br />Court,1.5,2,0,51.4945,-0.1829,Gloucester Road,Gloucester<br />Road,1,3,0,"(-0.197300 51.492000, -0.182900 51.494500)"
74,122,4,51.492,-0.1973,Earl's Court,Earl's<br />Court,1.5,2,0,51.5009,-0.1925,High Street Kensington,High<br />Street<br />Kensington,1,2,0,"(-0.197300 51.492000, -0.192500 51.500900)"
74,138,4,51.492,-0.1973,Earl's Court,Earl's<br />Court,1.5,2,0,51.4983,-0.2106,Kensington (Olympia),Kensington<br />(Olympia),2,1,1,"(-0.197300 51.492000, -0.210600 51.498300)"
74,287,4,51.492,-0.1973,Earl's Court,Earl's<br />Court,1.5,2,0,51.4872,-0.1953,West Brompton,West<br />Brompton,2,1,1,"(-0.197300 51.492000, -0.195300 51.487200)"
74,293,4,51.492,-0.1973,Earl's Court,Earl's<br />Court,1.5,2,0,51.4907,-0.2065,West Kensington,West<br />Kensington,2,1,0,"(-0.197300 51.492000, -0.206500 51.490700)"
78,270,4,51.5394,0.0518,East Ham,East<br />Ham,3.5,2,0,51.5352,0.0343,Upton Park,Upton<br />Park,3,2,0,"(0.051800 51.539400, 0.034300 51.535200)"
80,205,4,51.4586,-0.2112,East Putney,East<br />Putney,2.5,1,0,51.4682,-0.2089,Putney Bridge,Putney<br />Bridge,2,1,0,"(-0.211200 51.458600, -0.208900 51.468200)"
80,231,4,51.4586,-0.2112,East Putney,East<br />Putney,2.5,1,0,51.4454,-0.2066,Southfields,NULL,3,1,0,"(-0.211200 51.458600, -0.206600 51.445400)"
83,193,4,51.5203,-0.17,Edgware Road (C),Edgware<br />Road,1,3,0,51.5154,-0.1755,Paddington,NULL,1,4,1,"(-0.170000 51.520300, -0.175500 51.515400)"
85,129,4,51.5496,0.1977,Elm Park,Elm<br />Park,6,1,0,51.5539,0.2184,Hornchurch,NULL,6,1,0,"(0.197700 51.549600, 0.218400 51.553900)"
87,255,4,51.5074,-0.1223,Embankment,NULL,1,4,0,51.5111,-0.1141,Temple,NULL,1,2,0,"(-0.122300 51.507400, -0.114100 51.511100)"
87,285,4,51.5074,-0.1223,Embankment,NULL,1,4,0,51.501,-0.1254,Westminster,NULL,1,3,0,"(-0.122300 51.507400, -0.125400 51.501000)"
96,195,4,51.4804,-0.195,Fulham Broadway,Fulham<br />Broadway,2,1,0,51.4753,-0.2011,Parsons Green,Parsons<br />Green,2,1,0,"(-0.195000 51.480400, -0.201100 51.475300)"
96,287,4,51.4804,-0.195,Fulham Broadway,Fulham<br />Broadway,2,1,0,51.4872,-0.1953,West Brompton,West<br />Brompton,2,1,1,"(-0.195000 51.480400, -0.195300 51.487200)"
99,236,4,51.4945,-0.1829,Gloucester Road,Gloucester<br />Road,1,3,0,51.4941,-0.1738,South Kensington,South<br />Kensington,1,3,0,"(-0.182900 51.494500, -0.173800 51.494100)"
108,141,4,51.4915,-0.2754,Gunnersbury,NULL,3,1,0,51.477,-0.285,Kew Gardens,Kew<br />Gardens,3.5,1,0,"(-0.275400 51.491500, -0.285000 51.477000)"
108,265,4,51.4915,-0.2754,Gunnersbury,NULL,3,1,0,51.4951,-0.2547,Turnham Green,Turnham<br />Green,2.5,2,0,"(-0.275400 51.491500, -0.254700 51.495100)"
