name	highway	maxheight	@lat	@lon
St Loys Road	residential	"13'3"""	51.5924672	-0.0706296
Upminster Road	primary	4.6	51.5588053	0.2371639
Vansittart Road	residential	4.6	51.5546213	0.0198771
Pevensey Road	residential	4.3	51.5550545	0.0193141
Ramsay Road	residential	"15'3"""	51.5568265	0.0174584
High Road Leytonstone	tertiary	5	51.5630084	0.0095280
Grove Green Road	primary	4.2	51.5662260	0.0024168
Andrews Road	unclassified	4.5	51.5344094	-0.0579230
London Wall	primary	default	51.5174572	-0.0934663
Leman Street	primary	4.8	51.5112517	-0.0686699
Rounton Road	residential	3.8	51.5244079	-0.0205140
Wick Lane	unclassified	3.89	51.5315894	-0.0192146
Manor Road	primary	"13'0"""	51.5300685	0.0049306
Three Colt Street	residential	4.7	51.5108449	-0.0303062
Laburnum Street	tertiary	4.3	51.5351922	-0.0757141
Holloway Lane	primary	5	51.4958838	-0.4570836
Cricketfield Road	residential	"8'9"""	51.5430054	-0.4778838
Brighton Road	primary	4.6	51.3133086	-0.1412671
Portland Road	primary	3.7	51.3992920	-0.0742339
Elmers End Road	primary	4.4	51.4037860	-0.0552807
Thames Road	residential	"14'0"""	51.4850150	-0.2784125
The Terrace	primary	4.7	51.4723067	-0.2530844
Mary's Terrace	residential	"12'3"""	51.4497455	-0.3304605
Kingston Road	primary	"15'9"""	51.4015502	-0.2681756
St Ann's Road	secondary	4.8	51.5774667	-0.0751371
Jarrow Road	residential	4.7	51.5843967	-0.0600718
Bream Close	residential	3.7	51.5854293	-0.0559745
Park Street	unclassified	3.5	51.5070293	-0.0950459
Newington Causeway	primary	5.4	51.4975067	-0.0988342
London Road	trunk	4.8	51.4118000	-0.1235062
Manor Farm Road	unclassified	2.5	51.4087395	-0.1155363
Shakespeare Road	service	4.2	51.4571716	-0.1053463
Northolt Road	primary	4.6	51.5649277	-0.3526160
West End Road	primary	4.7	51.5616503	-0.4126911
Northolt Road	primary	4.5	51.5570601	-0.3622749
North Circular Road	trunk	4.8	51.5330007	-0.2913033
Kenworthy Road	primary	3.5	51.5468245	-0.0369990
Connaught Road	primary	5.1	51.5039268	0.0421187
Mews Yard	service	below_default	51.5151502	-0.1259230
Victoria Road	tertiary	5.2	51.5722571	-0.4122863
Western Avenue	trunk	5.6	51.5483284	-0.3999709
The Parkway	trunk	5.5	51.5165645	-0.4009145
	motorway	5.2	51.4936676	-0.4286587
	motorway	5.2	51.4935297	-0.4286961
Grey Eagle Street	unclassified	5	51.5214606	-0.0734103
Dockside Road	unclassified	5	51.5076497	0.0400884
Woolwich Road	primary	4.8	51.4867272	0.0195598
Deodar Road	residential	4.8	51.4641952	-0.2103940
Queen Mary Close	service	2	51.3732374	-0.2868247
Lynx Way	unclassified	5.1	51.5080737	0.0391695
Maran Way	residential	3.6	51.4957060	0.1289356
Parkside Cross	unclassified	4.8	51.4644629	0.1726063
Old Manor Way	residential	3.9	51.4645211	0.1676770
